"ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","nmol_FAME_per_g_soil"
93,"10.02.2",3,"20:5n3",0,1.717,-33.594,1.068912,0.797,5.999,372.4
94,"10.02.1",3,"12:0",0,16.051,-30.602,1.072186,0.7285,5.807,6226.2
95,"10.02.1",3,"14:0",0,2.908,29.92,1.138364,0.7432,5.807,977.73
96,"10.02.1",3,"a15:0",0,43.695,11.577,1.118315,0.7494,5.807,13772.75
97,"10.02.1",3,"15:0",0,3.998,0.366,1.106058,0.7494,5.807,1260.17
98,"10.02.1",3,"16:1n9/i16:0",0,6.89,179.72,1.301781,0.7606,5.807,2044.02
99,"10.02.1",3,"16:0",0,60.748,10.308,1.116929,0.755,5.807,18020.14
100,"10.02.1",3,"i17:0",0,8.066,-30.042,1.072799,0.76,5.807,2259.74
101,"10.02.1",3,"17:0cy",0,14.137,-13.707,1.090669,0.7654,5.807,3960.69
102,"10.02.1",3,"17:0",0,10.321,-24.843,1.078487,0.76,5.807,2891.49
103,"10.02.1",3,"18:3n6",0,0.637,-14.758,1.089519,0.7765,5.807,178.46
104,"10.02.1",3,"trans-18:1n9",0,18.546,-9.619,1.09514,0.7697,5.807,4922.47
105,"10.02.1",3,"18:0",0,17.234,11.741,1.118495,0.7645,5.807,4574.25
106,"10.02.1",3,"19:0cy",0,63.4,-33.16,1.069387,0.7736,5.807,15986.44
107,"10.02.1",3,"19:0",0,16.933,-34.419,1.068009,0.8216,5.807,4269.73
108,"10.02.1",3,"20:4n6",0,0.784,-23.61,1.079836,0.7919,5.807,188.29
109,"10.02.3",1,"12:0",0,13.172,-30.958,1.071797,0.7285,6.005,6117.19
110,"10.02.3",1,"14:0",0,1.426,-2.527,1.102895,0.7432,6.005,574.03
111,"10.02.3",1,"a15:0",0,24.547,-11.16,1.093454,0.7494,6.005,9263.36
112,"10.02.3",1,"15:0",0,2.446,-13.931,1.090423,0.7494,6.005,923.06
113,"10.02.3",1,"16:1n9/i16:0",0,3.741,80.814,1.193945,0.7606,6.005,1328.73
114,"10.02.3",1,"16:0",0,34.991,-8.94,1.095883,0.755,6.005,12426.92
115,"10.02.3",1,"i17:0",0,0.391,-34.175,1.068276,0.76,6.005,131.15
116,"10.02.3",1,"17:0cy",0,8.818,-24.591,1.078763,0.7654,6.005,2957.76
117,"10.02.3",1,"17:0",0,7.271,-26.312,1.076879,0.76,6.005,2438.79
118,"10.02.3",1,"18:3n6",0,0.466,-18.708,1.085198,0.7765,6.005,156.3
119,"10.02.3",1,"trans-18:1n9",0,11.776,-16.319,1.087812,0.7697,6.005,3742.06
120,"10.02.3",1,"18:0",0,9.549,-5.604,1.099531,0.7645,6.005,3034.39
121,"10.02.3",1,"19:0cy",0,35.159,-34.012,1.068455,0.7736,6.005,10614.01
122,"10.02.3",1,"19:0",0,13.445,-33.419,1.069104,0.8216,6.005,4058.89
123,"10.02.3",1,"20:4n6",0,0.453,-24.693,1.078651,0.7919,6.005,130.25
124,"11.06.2",3,"12:0",0,15.588,-31.606,1.071088,0.7285,6.007,6112.97
125,"11.06.2",3,"14:0",0,1.905,3.592,1.109586,0.7432,6.007,647.53
126,"11.06.2",3,"a15:0",0,28.027,1.777,1.107601,0.7494,6.007,8931.14
127,"11.06.2",3,"15:0",0,2.26,3.545,1.109534,0.7494,6.007,720.18
128,"11.06.2",3,"16:1n9/i16:0",0,3.852,113.782,1.229915,0.7606,6.007,1155.3
129,"11.06.2",3,"16:0",0,32.518,2.419,1.108304,0.755,6.007,9751.95
130,"11.06.2",3,"i17:0",0,2.008,-13.443,1.090958,0.76,6.007,568.72
131,"11.06.2",3,"17:0cy",0,10.153,-6.25,1.098824,0.7654,6.007,2875.74
132,"11.06.2",3,"17:0",0,7.814,-16.495,1.087619,0.76,6.007,2213.17
133,"11.06.2",3,"18:3n6",0,0.501,12.694,1.119536,0.7765,6.007,141.9
134,"11.06.2",3,"trans-18:1n9",0,8.512,12.918,1.119782,0.7697,6.007,2284.05
135,"11.06.2",3,"18:0",0,7.41,26.387,1.134503,0.7645,6.007,1988.36
136,"11.06.2",3,"19:0cy",0,38.44,-32.837,1.069741,0.7736,6.007,9799.13
137,"11.06.2",3,"19:0",0,15.921,-33.195,1.069349,0.8216,6.007,4058.62
138,"11.06.2",3,"20:4n6",0,0.651,-6.599,1.098443,0.7919,6.007,158.06
139,"11.06.2",3,"20:5n3",0,0.408,-26.087,1.077126,0.797,6.007,99.05
140,"11.10.1",2,"12:0",0,13.502,-30.343,1.072469,0.7285,6.056,5931.79
141,"11.10.1",2,"14:0",0,1.709,0.839,1.106576,0.7432,6.056,650.78
142,"11.10.1",2,"a15:0",0,38.955,-17.251,1.086792,0.7494,6.056,13906.52
143,"11.10.1",2,"15:0",0,3.82,-9.598,1.095163,0.7494,6.056,1363.7
144,"11.10.1",2,"16:1n9/i16:0",0,4.454,37.219,1.146338,0.7606,6.056,1496.52
145,"11.10.1",2,"16:0",0,43.355,56.616,1.167526,0.755,6.056,14565.72
146,"11.10.1",2,"i17:0",0,7.022,-28.132,1.074889,0.76,6.056,2228.06
147,"11.10.1",2,"17:0cy",0,12.06,-14.826,1.089445,0.7654,6.056,3826.73
148,"11.10.1",2,"17:0",0,9.166,-20.171,1.083598,0.76,6.056,2908.36
149,"11.10.1",2,"18:3n6",0,0.79,-4.087,1.10119,0.7765,6.056,250.67
150,"11.10.1",2,"trans-18:1n9",0,13.029,70.904,1.183126,0.7697,6.056,3916.61
151,"11.10.1",2,"18:0",0,8.72,75.561,1.18821,0.7645,6.056,2621.3
152,"11.10.1",2,"19:0cy",0,43.986,-23.512,1.079943,0.7736,6.056,12561.57
153,"11.10.1",2,"19:0",0,14.435,-29.674,1.073202,0.8216,6.056,4122.39
154,"11.10.1",2,"20:4n6",0,0.86,-24.357,1.079019,0.7919,6.056,233.91
155,"11.10.1",2,"20:5n3",0,1.024,-29.803,1.07306,0.797,6.056,278.5
156,"11.10.3",2,"12:0",0,14.193,-30.625,1.072161,0.7285,6.014,5610.68
157,"11.10.3",2,"14:0",0,3.342,-7.183,1.097804,0.7432,6.014,1145.13
158,"11.10.3",2,"a15:0",0,56.994,-17.058,1.087003,0.7494,6.014,18307.94
159,"11.10.3",2,"15:0",0,6.753,-15.168,1.089071,0.7494,6.014,2169.24
160,"11.10.3",2,"16:1n9/i16:0",0,8.452,11.33,1.118045,0.7606,6.014,2555.33
161,"11.10.3",2,"16:0",0,77.291,12.923,1.119787,0.755,6.014,23365.57
162,"11.10.3",2,"i17:0",0,11.218,-30.664,1.072118,0.76,6.014,3202.85
163,"11.10.3",2,"17:0cy",0,17.01,-22.578,1.080965,0.7654,6.014,4856.68
164,"11.10.3",2,"17:0",0,12.139,-26.38,1.076806,0.76,6.014,3465.8
165,"11.10.3",2,"18:3n6",0,0.943,-22.546,1.081,0.7765,6.014,269.24
166,"11.10.3",2,"trans-18:1n9",0,35.516,-6.403,1.098657,0.7697,6.014,9606.78
167,"11.10.3",2,"18:0",0,19.332,19.093,1.126531,0.7645,6.014,5229.16
168,"11.10.3",2,"19:0cy",0,90.724,-28.01,1.075022,0.7736,6.014,23313.43
169,"11.10.3",2,"19:0",0,17.192,-33.058,1.069499,0.8216,6.014,4417.88
170,"11.10.3",2,"20:4n6",0,1.544,-36.196,1.066065,0.7919,6.014,377.88
171,"11.10.3",2,"20:5n3",0,1.612,-34.246,1.068199,0.797,6.014,394.5
172,"11.06.2",3,"12:0",0,16.694,-30.335,1.072478,0.7285,6.007,6546.7
173,"11.06.2",3,"14:0",0,1.09,-19.856,1.083942,0.7432,6.007,370.51
174,"11.06.2",3,"a15:0",0,23.591,-23.042,1.080457,0.7494,6.007,7517.56
175,"11.06.2",3,"15:0",0,2.751,-19.177,1.084685,0.7494,6.007,876.64
176,"11.06.2",3,"16:1n9/i16:0",0,2.709,26.317,1.134426,0.7606,6.007,812.49
177,"11.06.2",3,"16:0",0,27.062,-18.47,1.085458,0.755,6.007,8115.73
178,"11.06.2",3,"i17:0",0,4.539,-35.054,1.067314,0.76,6.007,1285.58
179,"11.06.2",3,"17:0cy",0,7.42,-23.665,1.079775,0.7654,6.007,2101.64
180,"11.06.2",3,"17:0",0,5.271,-29.292,1.073619,0.76,6.007,1492.92
181,"11.06.2",3,"18:3n6",0,0.588,-15.338,1.088885,0.7765,6.007,166.55
182,"11.06.2",3,"trans-18:1n9",0,6.318,-1.533,1.103982,0.7697,6.007,1695.33
183,"11.06.2",3,"18:0",0,5.562,-6.814,1.098207,0.7645,6.007,1492.47
184,"11.06.2",3,"19:0cy",0,29.297,-35.379,1.066959,0.7736,6.007,7468.4
185,"11.06.2",3,"19:0",0,15.07,-32.722,1.069866,0.8216,6.007,3841.68
186,"11.06.2",3,"20:4n6",0,0.745,-17.332,1.086703,0.7919,6.007,180.88
187,"11.06.2",3,"20:5n3",0,1.112,-32.765,1.069819,0.797,6.007,269.97
188,"11.06.3",1,"12:0",0,13.145,-30.895,1.071865,0.7285,6.012,6174.17
189,"11.06.3",1,"14:0",0,1.643,-20.603,1.083125,0.7432,6.012,668.9
190,"11.06.3",1,"a15:0",0,22.963,-23.396,1.08007,0.7494,6.012,8764.26
191,"11.06.3",1,"15:0",0,2.421,-22.892,1.080621,0.7494,6.012,924.03
192,"11.06.3",1,"16:1n9/i16:0",0,4.272,-0.072,1.10558,0.7606,6.012,1534.6
193,"11.06.3",1,"16:0",0,35.114,-23.801,1.079627,0.755,6.012,12612.62
194,"11.06.3",1,"i17:0",0,5.689,-30.488,1.072311,0.76,6.012,1929.9
195,"11.06.3",1,"17:0cy",0,8.588,-27.086,1.076033,0.7654,6.012,2913.42
196,"11.06.3",1,"17:0",0,6.671,-31.132,1.071606,0.76,6.012,2263.01
197,"11.06.3",1,"18:3n6",0,0.503,-18.995,1.084885,0.7765,6.012,170.63
198,"11.06.3",1,"trans-18:1n9",0,11.047,-23.434,1.080028,0.7697,6.012,3550.38
199,"11.06.3",1,"18:0",0,9.173,-24.297,1.079085,0.7645,6.012,2948.12
200,"11.06.3",1,"19:0cy",0,40.222,-34.346,1.068089,0.7736,6.012,12280.75
201,"11.06.3",1,"19:0",0,13.124,-33.926,1.068548,0.8216,6.012,4007.11
202,"11.06.3",1,"20:4n6",0,0.457,-40.391,1.061474,0.7919,6.012,132.89
203,"11.06.3",1,"20:5n3",0,0.615,-35.411,1.066924,0.797,6.012,178.82
204,"11.06.3",2,"12:0",0,24.909,-29.832,1.073029,0.7285,6.012,5849.85
205,"11.06.3",2,"14:0",0,2.934,-26.883,1.076256,0.7432,6.012,597.26
206,"11.06.3",2,"a15:0",0,40.757,-28.534,1.074449,0.7494,6.012,7777.85
207,"11.06.3",2,"15:0",0,4.651,-28.36,1.074639,0.7494,6.012,887.57
208,"11.06.3",2,"16:1n9/i16:0",0,5.976,-23.118,1.080374,0.7606,6.012,1073.35
209,"11.06.3",2,"16:0",0,55.572,-28.237,1.074774,0.755,6.012,9980.47
210,"11.06.3",2,"i17:0",0,3.28,-31.059,1.071686,0.76,6.012,556.34
211,"11.06.3",2,"17:0cy",0,13.521,-29.477,1.073417,0.7654,6.012,2293.46
212,"11.06.3",2,"17:0",0,10.36,-31.786,1.070891,0.76,6.012,1757.23
213,"11.06.3",2,"18:3n6",0,0.868,-27.927,1.075112,0.7765,6.012,147.23
214,"11.06.3",2,"trans-18:1n9",0,18.754,-27.879,1.075166,0.7697,6.012,3013.66
215,"11.06.3",2,"18:0",0,12.79,-30.738,1.072038,0.7645,6.012,2055.28
216,"11.06.3",2,"19:0cy",0,69.032,-32.364,1.070258,0.7736,6.012,10538.56
217,"11.06.3",2,"19:0",0,23.9,-31.897,1.070769,0.8216,6.012,3648.65
218,"11.06.3",2,"20:4n6",0,0.59,-38.458,1.063589,0.7919,6.012,85.78
219,"11.06.3",2,"20:5n3",0,0.391,-31.531,1.07117,0.797,6.012,56.85
220,"12.09.1",2,"12:0",0,14.344,-30.397,1.07241,0.7285,6,6136.18
221,"12.09.1",2,"14:0",0,1.657,29.624,1.138039,0.7432,6,614.4
222,"12.09.1",2,"a15:0",0,30.816,-0.909,1.104664,0.7494,6,10712.03
223,"12.09.1",2,"15:0",0,3.197,13.128,1.120012,0.7494,6,1111.32
224,"12.09.1",2,"16:1n9/i16:0",0,3.971,107.947,1.223551,0.7606,6,1299.2
225,"12.09.1",2,"16:0",0,38.201,161.788,1.282247,0.755,6,12497.06
226,"12.09.1",2,"i17:0",0,1.929,-36.035,1.066241,0.76,6,595.99
227,"12.09.1",2,"17:0cy",0,11.455,-1.329,1.104205,0.7654,6,3539.29
228,"12.09.1",2,"17:0",0,8.82,-12.857,1.091599,0.76,6,2725.06
229,"12.09.1",2,"18:3n6",0,0.662,5.6,1.111781,0.7765,6,204.54
230,"12.09.1",2,"trans-18:1n9",0,12.762,90.944,1.205,0.7697,6,3735.58
231,"12.09.1",2,"18:0",0,8.077,196.787,1.320365,0.7645,6,2364.23
232,"12.09.1",2,"19:0cy",0,45.096,-15.551,1.088652,0.7736,6,12540.29
233,"12.09.1",2,"19:0",0,14.572,-32.249,1.070383,0.8216,6,4052.21
234,"12.09.1",2,"20:4n6",0,0.329,-33.964,1.068507,0.7919,6,87.14
235,"12.09.2",2,"12:0",0,13.461,-30.251,1.07257,0.7285,6.02,6166.9
236,"12.09.2",2,"14:0",0,1.269,46.054,1.15599,0.7432,6.02,503.92
237,"12.09.2",2,"a15:0",0,24.643,12.105,1.118893,0.7494,6.02,9173.86
238,"12.09.2",2,"15:0",0,2.667,29.62,1.138036,0.7494,6.02,992.85
239,"12.09.2",2,"16:1n9/i16:0",0,2.928,158.685,1.278866,0.7606,6.02,1025.89
240,"12.09.2",2,"16:0",0,25.569,251.095,1.379454,0.755,6.02,8957.98
241,"12.09.2",2,"i17:0",0,3.733,-31.2,1.071532,0.76,6.02,1235.18
242,"12.09.2",2,"17:0cy",0,7.34,14.695,1.121724,0.7654,6.02,2428.73
243,"12.09.2",2,"17:0",0,5.517,2.45,1.108337,0.76,6.02,1825.47
244,"12.09.2",2,"18:3n6",0,0.526,24.575,1.132522,0.7765,6.02,174.04
245,"12.09.2",2,"trans-18:1n9",0,7.498,159.85,1.280136,0.7697,6.02,2350.43
246,"12.09.2",2,"18:0",0,5.454,314.855,1.448737,0.7645,6.02,1709.7
247,"12.09.2",2,"19:0cy",0,27.9,7.153,1.113479,0.7736,6.02,8308.77
248,"12.09.2",2,"19:0",0,13.434,-26.74,1.076411,0.8216,6.02,4000.75
249,"12.09.2",2,"20:5n3",0,0.933,-18.584,1.085334,0.797,6.02,264.61
250,"12.01.2",3,"12:0",0,15.302,-30.638,1.072147,0.7285,6.028,6030.94
251,"12.01.2",3,"14:0",0,2.741,-14.014,1.090333,0.7432,6.028,936.38
252,"12.01.2",3,"a15:0",0,48.597,-22.486,1.081066,0.7494,6.028,15563.75
253,"12.01.2",3,"15:0",0,4.74,-16.435,1.087685,0.7494,6.028,1518.04
254,"12.01.2",3,"16:1n9/i16:0",0,4.304,39.419,1.148741,0.7606,6.028,1297.35
255,"12.01.2",3,"16:0",0,37.641,48.647,1.158823,0.755,6.028,11344.97
256,"12.01.2",3,"i17:0",0,9.132,-30.965,1.071788,0.76,6.028,2599.45
257,"12.01.2",3,"17:0cy",0,12.058,-20.382,1.083367,0.7654,6.028,3432.46
258,"12.01.2",3,"17:0",0,8.9,-25.239,1.078054,0.76,6.028,2533.41
259,"12.01.2",3,"18:3n6",0,0.777,-25.569,1.077692,0.7765,6.028,221.18
260,"12.01.2",3,"trans-18:1n9",0,11.851,28.499,1.13681,0.7697,6.028,3195.98
261,"12.01.2",3,"18:0",0,8.499,66.287,1.178086,0.7645,6.028,2292.01
262,"12.01.2",3,"19:0cy",0,43.443,-24.802,1.078532,0.7736,6.028,11130.08
263,"12.01.2",3,"19:0",0,15.959,-31.251,1.071476,0.8216,6.028,4088.73
264,"12.01.2",3,"20:4n6",0,1.117,-20.241,1.083522,0.7919,6.028,272.56
265,"12.01.2",3,"20:5n3",0,2.632,-29.655,1.073222,0.797,6.028,642.18
266,"12.01.3",2,"12:0",0,14.104,-30.967,1.071786,0.7285,6.03,6268.11
267,"12.01.3",2,"14:0",0,1.372,-10.497,1.094179,0.7432,6.03,528.51
268,"12.01.3",2,"a15:0",0,27.336,-22.185,1.081394,0.7494,6.03,9871.84
269,"12.01.3",2,"15:0",0,3.096,-11.788,1.092768,0.7494,6.03,1118.06
270,"12.01.3",2,"16:1n9/i16:0",0,3.725,6.103,1.112332,0.7606,6.03,1266.1
271,"12.01.3",2,"16:0",0,32.428,46.986,1.157008,0.755,6.03,11020.98
272,"12.01.3",2,"i17:0",0,3.838,-34.079,1.068381,0.76,6.03,1231.91
273,"12.01.3",2,"17:0cy",0,7.943,-25.255,1.078036,0.7654,6.03,2549.61
274,"12.01.3",2,"17:0",0,5.945,-25.063,1.078246,0.76,6.03,1908.21
275,"12.01.3",2,"18:3n6",0,0.477,-14.033,1.090312,0.7765,6.03,153.1
276,"12.01.3",2,"trans-18:1n9",0,11.433,15.89,1.12303,0.7697,6.03,3476.71
277,"12.01.3",2,"18:0",0,7.676,54.468,1.16518,0.7645,6.03,2334.22
278,"12.01.3",2,"19:0cy",0,31.285,-28.578,1.0744,0.7736,6.03,9038.01
279,"12.01.3",2,"19:0",0,13.546,-31.688,1.070997,0.8216,6.03,3913.37
280,"12.01.3",2,"20:4n6",0,0.554,-37.611,1.064516,0.7919,6.03,152.43
281,"12.01.3",2,"20:5n3",0,0.855,-33.568,1.06894,0.797,6.03,235.24
282,"12.05.2",3,"12:0",0,15.94,-30.573,1.072217,0.7285,6.037,6131.98
283,"12.05.2",3,"14:0",0,1.189,54.166,1.16485,0.7432,6.037,396.46
284,"12.05.2",3,"a15:0",0,15.971,30.037,1.138491,0.7494,6.037,4992.44
285,"12.05.2",3,"15:0",0,1.31,50.495,1.16084,0.7494,6.037,409.5
286,"12.05.2",3,"16:1n9/i16:0",0,0.215,31.062,1.139611,0.7606,6.037,63.26
287,"12.05.2",3,"16:0",0,17.082,352.975,1.490113,0.755,6.037,5025.24
288,"12.05.2",3,"i17:0",0,1.778,-40.914,1.060902,0.76,6.037,494
289,"12.05.2",3,"17:0cy",0,5.454,14.448,1.121454,0.7654,6.037,1515.38
290,"12.05.2",3,"17:0",0,4.679,13.109,1.11999,0.76,6.037,1300.01
291,"12.05.2",3,"18:3n6",0,0.443,34.511,1.14338,0.7765,6.037,123.08
292,"12.05.2",3,"18:2n9,12 and cis-18:1n9 and 183n3",0,4.688,266.594,1.396305,0.775,6.037,1233.94
293,"12.05.2",3,"18:0",0,3.484,548.84,1.702158,0.7645,6.037,917.07
294,"12.05.2",3,"19:0cy",0,15.827,18.456,1.125835,0.7736,6.037,3957.79
295,"12.05.2",3,"19:0",0,16.01,-29.087,1.073844,0.8216,6.037,4003.58
296,"12.05.2",3,"20:5n3",0,3.453,-32.887,1.069686,0.797,6.037,822.34
297,"12.05.3",2,"12:0",0,12.291,-42.653,1.058998,0.7285,5.999,6488.97
